"","StartDate","EndDate","IPAddress","Progress","duration_seconds","Finished","RecordedDate","ResponseId","LocationLatitude","LocationLongitude","AI_educated","AI_attitude","control_undesirable","control_jobs","control_oversight","control_recommender","control_beneficial","treat_beneficial_1","treat_undesirable_1","treat_jobs_1","treat_oversight_1","treat_recommender_1","attention_undesirable","attention_jobs","attention_oversight","attention_beneficial","attention_recommender","treat_beneficial_2","treat_undesirable_2","treat_jobs_2","treat_oversight_2","treat_recommender_2","learn_anything","education_level","house_income","gender","mTurkCode","treat_beneficial","treat_undesirable","treat_jobs","treat_oversight","treat_recommender"
"13","2018-03-15 21:22:40","2018-03-15 21:24:22","24.182.69.57",100,102,1,"2018-03-15 21:24:23","R_1C1nLaZ29RO9kGl",36.217407226562,-81.119697570801,3,3,NA,3,NA,2,NA,0,2,0,0,0,0,NA,NA,NA,NA,4,0,0,4,0,1,2,1,0,2525775,4,2,NA,4,NA
"14","2018-03-15 21:22:06","2018-03-15 21:24:35","104.152.104.33",100,149,1,"2018-03-15 21:24:35","R_2VQn6cmkPCZ0fRn",47.635498046875,-122.32350158691,5,3,NA,NA,NA,1,3,0,0,0,5,0,NA,NA,0,NA,NA,0,1,2,0,0,0,4,1,0,5132535,NA,1,2,5,NA
"15","2018-03-15 21:22:55","2018-03-15 21:24:37","208.81.157.130",100,101,1,"2018-03-15 21:24:37","R_DS1tthWd0fvwWJ3",48.343200683594,-116.45359802246,4,4,4,4,NA,NA,NA,4,0,0,0,0,NA,NA,NA,1,NA,0,0,0,4,4,1,4,3,1,8095860,4,NA,NA,4,4
"16","2018-03-15 21:22:32","2018-03-15 21:24:41","198.208.47.90",100,129,1,"2018-03-15 21:24:41","R_1YXgd6lxwXb5Alj",42.555999755859,-83.117797851562,4,4,2,NA,NA,3,NA,0,0,0,4,0,NA,NA,0,NA,NA,3,0,4,0,0,1,4,3,1,5839829,3,NA,4,4,NA
"17","2018-03-15 21:23:23","2018-03-15 21:24:47","129.15.64.228",100,83,1,"2018-03-15 21:24:48","R_zZNYl01R7QSFCkp",35.252304077148,-97.460296630859,3,3,2,NA,4,NA,NA,0,0,4,0,0,NA,0,NA,NA,NA,4,0,0,0,4,1,1,1,0,7697585,4,NA,4,NA,4
"18","2018-03-15 21:23:09","2018-03-15 21:24:49","174.234.130.28",100,99,1,"2018-03-15 21:24:49","R_2uJ8vI4hRDAQeiL",37.285507202148,-93.090896606445,4,2,4,NA,NA,NA,2,0,0,4,0,0,NA,0,NA,NA,NA,0,0,0,4,5,0,1,1,0,6506223,NA,NA,4,4,5
"19","2018-03-15 21:22:37","2018-03-15 21:24:56","172.2.58.14",100,138,1,"2018-03-15 21:24:56","R_eP2BTLj4ngpnbj3",34.187301635742,-80.706398010254,1,3,3,NA,3,NA,NA,0,0,2,0,0,NA,0,NA,NA,NA,2,0,0,0,1,0,1,1,0,2075277,2,NA,2,NA,1
"20","2018-03-15 21:23:48","2018-03-15 21:24:59","73.252.179.41",100,71,1,"2018-03-15 21:25:00","R_1MS9YAlNcxDDth9",38.438003540039,-122.67530059814,4,3,NA,NA,5,1,NA,3,0,0,0,0,NA,NA,NA,1,NA,0,4,5,0,0,1,1,1,0,7587870,3,4,5,NA,NA
"21","2018-03-15 21:23:32","2018-03-15 21:25:23","172.87.4.82",100,111,1,"2018-03-15 21:25:23","R_DB7pieMVfQjTpEl",47.971801757812,-90.0458984375,3,1,NA,1,NA,NA,5,0,0,0,0,2,NA,NA,NA,NA,0,0,5,0,4,0,1,4,1,1,4914518,NA,5,NA,4,2
"22","2018-03-15 21:22:12","2018-03-15 21:25:27","99.25.72.75",100,194,1,"2018-03-15 21:25:28","R_1FmiXcLZ0QEsQ6S",29.927093505859,-90.097297668457,3,5,NA,NA,NA,2,5,0,1,0,0,0,0,NA,NA,NA,NA,0,0,3,5,0,1,3,1,1,4676886,NA,1,3,5,NA
"23","2018-03-15 21:21:40","2018-03-15 21:25:33","172.11.220.144",100,232,1,"2018-03-15 21:25:33","R_TiM4NbpMQEmTZbr",39.597503662109,-84.15599822998,1,3,NA,NA,NA,2,3,0,3,0,0,0,0,NA,NA,NA,NA,0,0,3,3,0,0,2,1,1,5650749,NA,3,3,3,NA
"24","2018-03-15 21:22:46","2018-03-15 21:25:41","65.28.71.215",100,175,1,"2018-03-15 21:25:42","R_DvqXsO1rDpvguhX",38.924697875977,-94.702903747559,4,5,NA,NA,NA,2,4,0,0,1,0,0,NA,0,NA,NA,NA,0,1,0,3,0,1,1,1,1,5806861,NA,1,1,3,NA
"25","2018-03-15 21:24:05","2018-03-15 21:25:45","172.56.40.167",100,100,1,"2018-03-15 21:25:46","R_1rCkjM8ziZCoHiX",36.151092529297,-115.110496521,3,4,NA,1,2,NA,NA,0,3,0,0,0,1,NA,NA,NA,NA,3,0,0,0,1,1,3,1,0,7713190,3,3,NA,NA,1
"26","2018-03-15 21:22:23","2018-03-15 21:25:56","76.172.89.146",100,212,1,"2018-03-15 21:25:56","R_AhbDoQNe368kRzP",32.797698974609,-117.23350524902,3,4,2,2,NA,NA,NA,4,0,0,0,0,NA,NA,NA,1,NA,0,0,0,4,4,1,2,2,0,929700,4,NA,NA,4,4
"27","2018-03-15 21:23:25","2018-03-15 21:26:03","148.75.164.241",100,157,1,"2018-03-15 21:26:04","R_3iPdA3z81yNdT4q",41.139602661133,-73.405601501465,3,4,NA,NA,4,NA,5,0,0,0,0,2,NA,NA,NA,NA,1,0,2,4,0,0,0,2,1,1,7286907,NA,2,4,NA,2
"28","2018-03-15 21:24:11","2018-03-15 21:26:39","40.136.243.190",100,148,1,"2018-03-15 21:26:40","R_3iySthKZ8YSGQgN",35.51530456543,-79.200698852539,1,4,4,NA,5,NA,NA,3,0,0,0,0,NA,NA,NA,1,NA,0,0,4,0,2,1,2,1,0,7662741,3,NA,4,NA,2
"29","2018-03-15 21:25:55","2018-03-15 21:26:47","157.50.218.52",100,51,1,"2018-03-15 21:26:47","R_3hlIMZJidv7CMhE",13.083297729492,80.283294677734,3,4,NA,3,NA,4,NA,0,4,0,0,0,1,NA,NA,NA,NA,5,0,0,2,0,0,2,3,1,1554929,5,4,NA,2,NA
"30","2018-03-15 21:23:12","2018-03-15 21:27:07","96.30.236.254",100,234,1,"2018-03-15 21:27:08","R_22VOwEG28ItCI7Z",31.445297241211,-109.87310028076,3,4,2,3,NA,NA,NA,0,0,0,4,0,NA,NA,0,NA,NA,3,0,0,0,1,1,0,2,0,3267867,3,NA,NA,4,1
"31","2018-03-15 21:24:26","2018-03-15 21:27:35","173.244.44.13",100,189,1,"2018-03-15 21:27:35","R_2uC0zhwkIF9Adhc",47.606201171875,-122.33209991455,3,2,NA,5,5,NA,NA,3,0,0,0,0,NA,NA,NA,1,NA,0,5,0,0,3,1,1,1,0,66291,3,5,NA,NA,3
"32","2018-03-15 21:23:49","2018-03-15 21:27:36","99.19.101.168",100,226,1,"2018-03-15 21:27:36","R_yxQ0G4dix3YQJzP",44.059906005859,-88.527801513672,3,4,NA,NA,4,NA,4,0,2,0,0,0,0,NA,NA,NA,NA,0,0,3,0,2,0,0,1,0,6023458,NA,2,3,NA,2
"33","2018-03-15 21:23:31","2018-03-15 21:27:42","216.134.241.163",100,250,1,"2018-03-15 21:27:42","R_ZCNkZd9Ydg8z1jr",35.873199462891,-92.071701049805,3,2,NA,NA,NA,1,1,0,4,0,0,0,0,NA,NA,NA,NA,0,0,5,5,0,1,2,1,0,7058503,NA,4,5,5,NA
"34","2018-03-15 21:23:55","2018-03-15 21:27:45","104.35.170.65",100,230,1,"2018-03-15 21:27:46","R_2zZkH9KeML6YTPi",34.153900146484,-117.99189758301,2,2,3,NA,NA,NA,2,0,0,0,4,0,NA,NA,0,NA,NA,0,0,4,0,3,1,1,1,0,655856,NA,NA,4,4,3
"35","2018-03-15 21:23:05","2018-03-15 21:28:06","108.195.92.66",100,300,1,"2018-03-15 21:28:06","R_3QQwTJNHeZlAKab",34.491592407227,-82.615798950195,3,4,4,NA,NA,4,NA,0,0,5,0,0,NA,1,NA,NA,NA,4,0,0,5,0,1,2,2,1,7135370,4,NA,5,5,NA
"36","2018-03-15 21:22:28","2018-03-15 21:28:27","108.195.92.66",100,358,1,"2018-03-15 21:28:27","R_1pJQIY3cnNv3yix",34.491592407227,-82.615798950195,4,5,2,NA,5,NA,NA,0,0,0,0,4,NA,NA,NA,NA,1,4,0,4,0,0,1,2,2,0,8951372,4,NA,4,NA,4
"37","2018-03-15 21:24:07","2018-03-15 21:28:30","75.161.20.159",100,262,1,"2018-03-15 21:28:31","R_2ZV8P9lQTSCLaFs",35.084503173828,-106.65110015869,1,3,NA,2,3,NA,NA,0,3,0,0,0,0,NA,NA,NA,NA,3,0,0,0,2,1,4,2,0,3225646,3,3,NA,NA,2
"38","2018-03-15 21:24:05","2018-03-15 21:28:52","24.197.131.85",100,286,1,"2018-03-15 21:28:52","R_3PcwtWhqrOfRdos",34.491592407227,-82.615798950195,4,4,4,5,NA,NA,NA,4,0,0,0,0,NA,NA,NA,1,NA,0,0,0,5,2,1,3,1,1,154953,4,NA,NA,5,2
"39","2018-03-15 21:28:15","2018-03-15 21:29:04","50.30.250.218",100,49,1,"2018-03-15 21:29:05","R_3391iVdxyz52VoH",35.842300415039,-90.704299926758,4,4,NA,4,NA,NA,4,0,0,0,0,4,NA,NA,NA,NA,1,0,2,0,4,0,1,2,2,1,7035770,NA,2,NA,4,4
"40","2018-03-15 21:22:28","2018-03-15 21:29:47","99.203.11.205",100,439,1,"2018-03-15 21:29:47","R_3t3hd0M1Nd613wt",33.948501586914,-118.20169830322,2,4,NA,2,NA,3,NA,0,2,0,0,0,1,NA,NA,NA,NA,4,0,0,2,0,0,4,2,1,5405703,4,2,NA,2,NA
"41","2018-03-15 21:26:53","2018-03-15 21:31:04","173.19.129.38",100,250,1,"2018-03-15 21:31:04","R_3CVLCPhCuMGOSCi",37.768005371094,-89.327499389648,3,3,NA,2,3,NA,NA,0,3,0,0,0,0,NA,NA,NA,NA,3,0,0,0,1,0,1,1,0,7426161,3,3,NA,NA,1
"42","2018-03-15 21:29:24","2018-03-15 21:31:19","199.0.194.104",100,115,1,"2018-03-15 21:31:20","R_22tu3CIB0pbFznz",39.493804931641,-97.61190032959,2,2,NA,NA,5,2,NA,0,0,3,0,0,NA,1,NA,NA,NA,2,4,0,0,0,1,2,1,1,9672299,2,4,3,NA,NA
"43","2018-03-15 21:30:20","2018-03-15 21:32:47","98.165.9.211",100,146,1,"2018-03-15 21:32:47","R_2xS1G8EJDDtu8Le",33.446502685547,-111.76850128174,4,2,NA,5,5,NA,NA,2,0,0,0,0,NA,NA,NA,1,NA,0,5,0,0,4,0,1,1,1,8676880,2,5,NA,NA,4
"44","2018-03-15 21:27:05","2018-03-15 21:33:01","189.177.110.85",100,355,1,"2018-03-15 21:33:01","R_2V2tZvLia84nyJM",20.662292480469,-105.22979736328,2,5,1,NA,3,NA,NA,3,0,0,0,0,NA,NA,NA,0,NA,0,0,5,0,2,1,1,1,1,7662497,3,NA,5,NA,2
"45","2018-03-15 21:33:54","2018-03-15 21:34:22","68.100.174.128",100,27,1,"2018-03-15 21:34:22","R_DwKZpZuDZuK5WEh",38.820907592773,-77.289100646973,4,5,5,NA,5,NA,NA,5,0,0,0,0,NA,NA,NA,0,NA,0,0,4,0,5,0,4,2,1,3418723,5,NA,4,NA,5
"46","2018-03-15 21:33:15","2018-03-15 21:34:52","98.228.249.98",100,97,1,"2018-03-15 21:34:53","R_2CZF92CJtjcZOR2",42.009292602539,-88.092597961426,4,4,NA,NA,NA,4,3,0,0,3,0,0,NA,1,NA,NA,NA,0,3,0,3,0,1,2,2,1,1372771,NA,3,3,3,NA
"47","2018-03-15 21:30:23","2018-03-15 21:35:28","98.24.118.246",100,304,1,"2018-03-15 21:35:28","R_1GObvjx4Mzr67ZE",35.229797363281,-81.242797851562,1,4,3,NA,NA,2,NA,3,0,0,0,0,NA,NA,NA,1,NA,0,0,4,3,0,1,3,2,0,3927618,3,NA,4,3,NA
"48","2018-03-15 21:36:49","2018-03-15 21:38:40","68.100.174.128",100,110,1,"2018-03-15 21:38:40","R_87lfMf0xiyfqHjX",38.820907592773,-77.289100646973,3,5,1,3,NA,NA,NA,5,0,0,0,0,NA,NA,NA,1,NA,0,0,0,5,3,0,2,2,1,8039522,5,NA,NA,5,3
"49","2018-03-15 21:26:54","2018-03-15 21:41:08","68.63.12.89",100,853,1,"2018-03-15 21:41:08","R_1gbgP4giuIldaJ3",31.150299072266,-85.411399841309,3,2,NA,4,NA,NA,3,0,2,0,0,0,1,NA,NA,NA,NA,0,0,0,2,3,1,2,2,1,4346491,NA,2,NA,2,3
"50","2018-03-15 21:40:54","2018-03-15 21:43:09","104.10.82.85",100,135,1,"2018-03-15 21:43:10","R_1M4bUuWf1KOTPaD",30.542297363281,-97.917602539062,3,4,3,5,NA,NA,NA,0,0,0,0,3,NA,NA,NA,NA,1,3,0,0,3,0,0,2,1,1,9002752,3,NA,NA,3,3
"51","2018-03-15 21:39:36","2018-03-15 21:43:31","68.227.13.106",100,234,1,"2018-03-15 21:43:31","R_1M7cYh4WAKcWzvz",36.031600952148,-115.21179962158,4,3,NA,3,NA,NA,4,0,4,0,0,0,0,NA,NA,NA,NA,0,0,0,3,4,1,4,3,1,5825581,NA,4,NA,3,4
"52","2018-03-15 21:39:24","2018-03-15 21:44:02","68.59.144.118",100,277,1,"2018-03-15 21:44:02","R_50fobOrud6kgaRz",35.423904418945,-84.668098449707,1,1,NA,5,NA,NA,1,0,4,0,0,0,1,NA,NA,NA,NA,0,0,0,5,1,0,1,1,1,2759138,NA,4,NA,5,1
"53","2018-03-15 21:44:22","2018-03-15 21:45:13","157.48.1.152",100,50,1,"2018-03-15 21:45:13","R_3qfD0prVW6IjoJy",17.375305175781,78.474395751953,4,4,NA,NA,4,NA,4,0,0,4,0,0,NA,1,NA,NA,NA,0,4,0,0,4,1,4,2,0,4221136,NA,4,4,NA,4
"54","2018-03-15 21:42:12","2018-03-15 21:46:01","67.186.29.207",100,229,1,"2018-03-15 21:46:01","R_1pF4kvzDyhABmOO",40.335601806641,-79.55069732666,3,5,NA,2,NA,NA,5,0,0,0,0,2,NA,NA,NA,NA,0,0,4,0,4,0,1,2,2,1,9261520,NA,4,NA,4,2
"55","2018-03-15 21:33:48","2018-03-15 21:47:15","67.245.123.15",100,806,1,"2018-03-15 21:47:15","R_31ADYtKDWfRF2XA",40.750595092773,-73.82039642334,2,3,4,NA,NA,2,NA,0,0,0,5,0,NA,NA,0,NA,NA,3,0,5,0,0,1,2,2,0,4946365,3,NA,5,5,NA
"56","2018-03-15 21:44:37","2018-03-15 21:47:26","132.147.20.195",100,169,1,"2018-03-15 21:47:27","R_OPFsNeAB4EeLi93",33.598205566406,-81.671203613281,3,4,NA,NA,NA,3,4,0,2,0,0,0,0,NA,NA,NA,NA,0,0,3,3,0,1,3,1,1,2040118,NA,2,3,3,NA
"57","2018-03-15 21:23:34","2018-03-15 21:48:25","104.156.115.18",100,1491,1,"2018-03-15 21:48:25","R_2aRgd1dvPJ9TMK5",37.568206787109,-82.788597106934,3,5,NA,NA,3,NA,5,0,0,0,0,4,NA,NA,NA,NA,1,0,2,2,0,0,0,1,1,1,822092,NA,2,2,NA,4
"58","2018-03-15 21:46:19","2018-03-15 21:56:10","67.186.29.207",100,591,1,"2018-03-15 21:56:11","R_u9W9ePmKncN7s3v",40.335601806641,-79.55069732666,4,4,2,NA,NA,4,NA,3,0,0,0,0,NA,NA,NA,1,NA,0,0,3,4,0,1,1,2,0,300439,3,NA,3,4,NA
"59","2018-03-15 21:55:46","2018-03-15 21:59:02","172.112.206.174",100,196,1,"2018-03-15 21:59:02","R_1lb0HfewxLSV76e",33.710998535156,-118.043800354,3,4,NA,NA,NA,2,4,0,0,4,0,0,NA,1,NA,NA,NA,0,2,0,4,0,1,3,4,1,91621,NA,2,4,4,NA
"60","2018-03-15 22:26:22","2018-03-15 22:31:28","104.54.230.202",100,306,1,"2018-03-15 22:31:28","R_3O19djPU8YYcAtE",30.499801635742,-97.808197021484,4,4,2,NA,NA,2,NA,0,0,3,0,0,NA,1,NA,NA,NA,4,0,0,2,0,1,1,2,1,2395704,4,NA,3,2,NA
