"StartDate","EndDate","IPAddress","Progress","duration_seconds","Finished","RecordedDate","ResponseId","LocationLatitude","LocationLongitude","AI_educated","AI_attitude","control_undesirable","control_jobs","control_oversight","control_recommender","control_beneficial","treat_beneficial_1","treat_undesirable_1","treat_jobs_1","treat_oversight_1","treat_recommender_1","attention_undesirable","attention_jobs","attention_oversight","attention_beneficial","attention_recommender","treat_beneficial_2","treat_undesirable_2","treat_jobs_2","treat_oversight_2","treat_recommender_2","learn_anything","education_level","house_income","gender","mTurkCode","treat_beneficial","treat_undesirable","treat_jobs","treat_oversight","treat_recommender","assignment_beneficial","score_beneficial","assignment_undesirable","score_undesirable","assignment_jobs","score_jobs","assignment_oversight","score_oversight","assignment_recommender","score_recommender","attention_undesirable_correct","attention_jobs_correct","attention_oversight_correct","attention_recommender_correct","attention_beneficial_correct","attention_correct"
"2018-03-31 16:05:35","2018-03-31 16:09:52","108.184.205.177",100,257,1,"2018-03-31 16:09:53","R_1pogqUKHBfe6T1C",33.747406005859,-117.99389648438,3,4,2,NA,NA,NA,4,0,0,0,2,0,NA,NA,0,NA,NA,0,0,2,0,4,1,2,1,1,824438,NA,NA,2,2,4,0,4,0,2,1,2,1,2,1,4,NA,NA,1,NA,NA,1
"2018-03-31 16:06:42","2018-03-31 16:10:07","75.20.148.196",100,204,1,"2018-03-31 16:10:08","R_20Ur9UVbuPkqRTS",38.691802978516,-89.991096496582,4,5,NA,2,1,NA,NA,0,0,0,0,4,NA,NA,NA,NA,1,5,1,0,0,0,0,2,2,0,5263819,5,1,NA,NA,4,1,5,1,1,0,2,0,1,1,4,NA,NA,NA,1,NA,1
"2018-03-31 16:07:29","2018-03-31 16:10:29","97.114.76.90",100,180,1,"2018-03-31 16:10:30","R_3EyDJ99lCDvFlph",46.418197631836,-118.90029907227,2,4,3,4,NA,NA,NA,0,0,0,0,4,NA,NA,NA,NA,1,3,0,0,4,0,1,2,1,0,7823543,3,NA,NA,4,4,1,3,0,3,0,4,1,4,1,4,NA,NA,NA,1,NA,1
"2018-03-31 16:07:10","2018-03-31 16:10:46","107.77.199.76",100,215,1,"2018-03-31 16:10:46","R_3LiCUcfEKAxbtUZ",32.783096313477,-96.806701660156,1,2,NA,4,NA,NA,2,0,4,0,0,0,0,NA,NA,NA,NA,0,0,0,5,1,1,4,2,0,9755967,NA,4,NA,5,1,0,2,1,4,0,4,1,5,1,1,1,NA,NA,NA,NA,1
"2018-03-31 16:06:46","2018-03-31 16:10:52","65.24.200.156",100,245,1,"2018-03-31 16:10:52","R_3FWe0K7Hby4HPiH",41.461502075195,-84.553100585938,2,4,NA,2,NA,2,NA,4,0,0,0,0,NA,NA,NA,1,NA,0,2,0,2,0,0,2,1,0,1469140,4,2,NA,2,NA,1,4,1,2,0,2,1,2,0,2,NA,NA,NA,NA,1,1
"2018-03-31 16:08:42","2018-03-31 16:11:33","73.149.156.211",100,171,1,"2018-03-31 16:11:34","R_3fP4JKMlN9p9w1O",43.636093139648,-72.241302490234,2,1,NA,4,NA,2,NA,2,0,0,0,0,NA,NA,NA,1,NA,0,5,0,5,0,1,4,2,1,500461,2,5,NA,5,NA,1,2,1,5,0,4,1,5,0,2,NA,NA,NA,NA,1,1
"2018-03-31 16:06:09","2018-03-31 16:11:42","184.218.156.114",100,333,1,"2018-03-31 16:11:43","R_1j9579KD2s9wm7p",37.751007080078,-97.821998596191,3,5,4,NA,4,NA,NA,0,0,1,0,0,NA,1,NA,NA,NA,3,0,0,0,3,0,2,3,1,3396761,3,NA,1,NA,3,1,3,0,4,1,1,0,4,1,3,NA,1,NA,NA,NA,1
"2018-03-31 16:08:26","2018-03-31 16:11:52","136.63.75.32",100,206,1,"2018-03-31 16:11:52","R_3Rjv7dPuK2dojbe",38.914505004883,-94.300598144531,3,3,NA,NA,4,NA,4,0,2,0,0,0,1,NA,NA,NA,NA,0,0,2,0,4,1,2,1,0,2308821,NA,2,2,NA,4,0,4,1,2,1,2,0,4,1,4,0,NA,NA,NA,NA,0
"2018-03-31 16:08:00","2018-03-31 16:12:03","71.174.63.141",100,242,1,"2018-03-31 16:12:03","R_21h09hJ0opcBEfm",42.270599365234,-71.847900390625,1,5,NA,4,NA,2,NA,0,0,0,5,0,NA,NA,0,NA,NA,4,2,0,0,0,1,2,3,1,6788544,4,2,NA,5,NA,1,4,1,2,0,4,1,5,0,2,NA,NA,1,NA,NA,1
"2018-03-31 16:08:04","2018-03-31 16:12:11","68.111.14.9",100,246,1,"2018-03-31 16:12:11","R_30dfC6rnaC6xWOz",32.178497314453,-110.78970336914,2,1,NA,NA,NA,3,1,0,5,0,0,0,0,NA,NA,NA,NA,0,0,5,5,0,1,0,2,0,581377,NA,5,5,5,NA,0,1,1,5,1,5,1,5,0,3,1,NA,NA,NA,NA,1
"2018-03-31 16:09:29","2018-03-31 16:12:13","120.29.100.146",100,164,1,"2018-03-31 16:12:14","R_3e8Ik5XczCz3IZF",15.149993896484,120.58331298828,3,4,4,4,NA,NA,NA,0,0,0,4,0,NA,NA,0,NA,NA,3,0,0,0,3,1,3,2,1,439830,3,NA,NA,4,3,1,3,0,4,0,4,1,4,1,3,NA,NA,1,NA,NA,1
"2018-03-31 16:11:13","2018-03-31 16:12:16","67.5.254.189",100,62,1,"2018-03-31 16:12:16","R_vrCArtyVrz3zyVj",45.724700927734,-122.74589538574,3,3,NA,5,NA,NA,4,0,0,0,5,0,NA,NA,0,NA,NA,0,5,0,0,2,1,2,2,0,5044512,NA,5,NA,5,2,0,4,1,5,0,5,1,5,1,2,NA,NA,1,NA,NA,1
"2018-03-31 16:10:28","2018-03-31 16:12:19","24.253.105.212",100,111,1,"2018-03-31 16:12:20","R_22ldGS1MunIMHKn",36.111297607422,-115.27909851074,3,2,5,NA,5,NA,NA,0,0,0,0,2,NA,NA,NA,NA,1,2,0,4,0,0,0,3,2,1,3007806,2,NA,4,NA,2,1,2,0,5,1,4,0,5,1,2,NA,NA,NA,1,NA,1
"2018-03-31 16:10:43","2018-03-31 16:12:38","166.181.86.151",100,114,1,"2018-03-31 16:12:38","R_1f9LAgu9mXGPvX7",41.649002075195,-93.627502441406,3,4,3,NA,NA,3,NA,0,0,0,4,0,NA,NA,0,NA,NA,4,0,2,0,0,0,1,2,1,7914911,4,NA,2,4,NA,1,4,0,3,1,2,1,4,0,3,NA,NA,1,NA,NA,1
"2018-03-31 16:10:10","2018-03-31 16:13:11","173.219.46.36",100,181,1,"2018-03-31 16:13:12","R_TiSF3lcK64HWEbT",33.440505981445,-90.662399291992,2,3,NA,NA,5,NA,2,0,4,0,0,0,1,NA,NA,NA,NA,0,0,5,0,2,1,1,2,0,6648167,NA,4,5,NA,2,0,2,1,4,1,5,0,5,1,2,0,NA,NA,NA,NA,0
"2018-03-31 16:10:28","2018-03-31 16:13:37","66.85.185.90",100,189,1,"2018-03-31 16:13:38","R_1DqDH9I8c4K3Fgs",33.435699462891,-111.91709899902,1,4,3,4,NA,NA,NA,0,0,0,3,0,NA,NA,0,NA,NA,2,0,0,0,3,1,2,1,0,8099770,2,NA,NA,3,3,1,2,0,3,0,4,1,3,1,3,NA,NA,1,NA,NA,1
"2018-03-31 16:10:48","2018-03-31 16:13:38","70.168.7.208",100,170,1,"2018-03-31 16:13:39","R_3G0Kt529YcenR6l",41.60920715332,-71.17440032959,2,4,NA,NA,NA,2,4,0,1,0,0,0,0,NA,NA,NA,NA,0,0,3,3,0,0,2,1,1,5882941,NA,1,3,3,NA,0,4,1,1,1,3,1,3,0,2,1,NA,NA,NA,NA,1
"2018-03-31 16:11:25","2018-03-31 16:14:02","67.240.33.197",100,157,1,"2018-03-31 16:14:03","R_2WG7GUfpAxWZgaZ",42.749496459961,-73.595100402832,4,3,NA,NA,NA,4,3,0,0,3,0,0,NA,1,NA,NA,NA,0,4,0,5,0,0,1,1,1,3247656,NA,4,3,5,NA,0,3,1,4,1,3,1,5,0,4,NA,1,NA,NA,NA,1
"2018-03-31 16:11:52","2018-03-31 16:14:04","174.59.133.48",100,132,1,"2018-03-31 16:14:05","R_1NPNlY7IDzanvnb",40.53059387207,-76.622901916504,3,4,NA,NA,3,3,NA,4,0,0,0,0,NA,NA,NA,1,NA,0,2,2,0,0,0,1,1,1,5628067,4,2,2,NA,NA,1,4,1,2,1,2,0,3,0,3,NA,NA,NA,NA,1,1
"2018-03-31 16:10:07","2018-03-31 16:14:14","24.55.121.187",100,246,1,"2018-03-31 16:14:14","R_28Ijdm2HVmoPWKK",18.450393676758,-66.084899902344,3,3,4,NA,5,NA,NA,0,0,0,0,1,NA,NA,NA,NA,1,3,0,5,0,0,0,2,1,0,6025811,3,NA,5,NA,1,1,3,0,4,1,5,0,5,1,1,NA,NA,NA,1,NA,1
"2018-03-31 16:11:57","2018-03-31 16:14:21","73.253.68.193",100,144,1,"2018-03-31 16:14:22","R_2D7fIMfcX2bn9Nb",42.458602905273,-71.359703063965,3,2,4,NA,NA,NA,3,0,0,0,0,1,NA,NA,NA,NA,1,0,0,3,5,0,1,3,4,1,2916057,NA,NA,3,5,1,0,3,0,4,1,3,1,5,1,1,NA,NA,NA,1,NA,1
"2018-03-31 16:07:54","2018-03-31 16:14:21","107.77.241.3",100,386,1,"2018-03-31 16:14:22","R_2OPWA5oNPc34MQQ",37.751007080078,-97.821998596191,2,3,NA,NA,NA,2,4,0,4,0,0,0,1,NA,NA,NA,NA,0,0,4,5,0,1,1,1,0,7587888,NA,4,4,5,NA,0,4,1,4,1,4,1,5,0,2,0,NA,NA,NA,NA,0
"2018-03-31 16:13:24","2018-03-31 16:14:50","99.203.128.44",100,86,1,"2018-03-31 16:14:50","R_3RmDY8SedNRr4Lo",39.016296386719,-84.598098754883,3,5,NA,3,NA,NA,3,0,5,0,0,0,1,NA,NA,NA,NA,0,0,0,3,5,1,1,1,1,2045694,NA,5,NA,3,5,0,3,1,5,0,3,1,3,1,5,0,NA,NA,NA,NA,0
"2018-03-31 16:14:22","2018-03-31 16:14:51","98.214.56.251",100,29,1,"2018-03-31 16:14:52","R_2V7IJAIhFDSY8Fv",40.129104614258,-89.364097595215,3,4,NA,3,4,NA,NA,2,0,0,0,0,NA,NA,NA,1,NA,0,3,0,0,5,1,2,1,1,8055310,2,3,NA,NA,5,1,2,1,3,0,3,0,4,1,5,NA,NA,NA,NA,1,1
"2018-03-31 16:10:06","2018-03-31 16:15:02","148.64.39.165",100,296,1,"2018-03-31 16:15:02","R_3KPYv1ljOeiZ3Lr",32.297607421875,-99.305702209473,3,3,4,NA,NA,NA,2,0,0,0,4,0,NA,NA,0,NA,NA,0,0,4,0,2,0,1,1,0,4033031,NA,NA,4,4,2,0,2,0,4,1,4,1,4,1,2,NA,NA,1,NA,NA,1
"2018-03-31 16:13:30","2018-03-31 16:15:14","47.196.38.237",100,103,1,"2018-03-31 16:15:14","R_1dhqg1a389ho4UB",27.866104125977,-82.326499938965,3,3,3,NA,NA,NA,3,0,0,0,4,0,NA,NA,1,NA,NA,0,0,4,0,3,0,2,1,0,9261380,NA,NA,4,4,3,0,3,0,3,1,4,1,4,1,3,NA,NA,0,NA,NA,0
"2018-03-31 16:13:58","2018-03-31 16:16:13","107.77.205.201",100,134,1,"2018-03-31 16:16:13","R_2xY2C43fxQ1H6S6",47.494400024414,-122.10070037842,2,2,NA,NA,3,2,NA,0,3,0,0,0,1,NA,NA,NA,NA,2,0,3,0,0,0,3,2,0,9820723,2,3,3,NA,NA,1,2,1,3,1,3,0,3,0,2,0,NA,NA,NA,NA,0
"2018-03-31 16:13:59","2018-03-31 16:16:46","99.100.237.177",100,166,1,"2018-03-31 16:16:46","R_2fkTovCJNp3Pefo",42.643905639648,-83.050399780273,3,4,2,NA,2,NA,NA,0,0,0,0,4,NA,NA,NA,NA,0,4,0,3,0,0,1,2,3,0,9196085,4,NA,3,NA,4,1,4,0,2,1,3,0,2,1,4,NA,NA,NA,0,NA,0
"2018-03-31 16:15:24","2018-03-31 16:17:15","213.205.242.45",100,111,1,"2018-03-31 16:17:16","R_sja1RsrLVyA8i2t",52.466705322266,-1.9167022705078,4,1,NA,NA,NA,2,2,0,0,4,0,0,NA,1,NA,NA,NA,0,5,0,5,0,0,1,1,1,9701473,NA,5,4,5,NA,0,2,1,5,1,4,1,5,0,2,NA,1,NA,NA,NA,1
"2018-03-31 16:16:17","2018-03-31 16:17:31","104.54.216.156",100,73,1,"2018-03-31 16:17:31","R_2duOtdjwrNuAKbC",30.441604614258,-97.598602294922,4,4,NA,4,NA,3,NA,0,0,0,3,0,NA,NA,0,NA,NA,4,3,0,0,0,1,2,1,1,9794013,4,3,NA,3,NA,1,4,1,3,0,4,1,3,0,3,NA,NA,1,NA,NA,1
"2018-03-31 16:16:03","2018-03-31 16:17:49","71.37.196.142",100,106,1,"2018-03-31 16:17:50","R_1nU8NbPF9bJ4LVJ",43.634002685547,-116.32420349121,3,5,1,2,NA,NA,NA,0,0,0,3,0,NA,NA,0,NA,NA,5,0,0,0,1,0,1,1,1,3692876,5,NA,NA,3,1,1,5,0,1,0,2,1,3,1,1,NA,NA,1,NA,NA,1
"2018-03-31 16:10:03","2018-03-31 16:18:30","173.72.56.96",100,506,1,"2018-03-31 16:18:30","R_3ik8Lf56sIwzXP9",39.874099731445,-74.80899810791,1,3,3,NA,NA,NA,3,0,0,0,0,2,NA,NA,NA,NA,1,0,0,4,4,0,1,4,3,0,2655543,NA,NA,4,4,2,0,3,0,3,1,4,1,4,1,2,NA,NA,NA,1,NA,1
"2018-03-31 16:15:09","2018-03-31 16:18:45","98.195.126.44",100,215,1,"2018-03-31 16:18:45","R_r0x08kYL5LLh6sV",29.739700317383,-95.830200195312,4,4,2,NA,NA,4,NA,0,0,3,0,0,NA,1,NA,NA,NA,4,0,0,3,0,1,0,2,1,7597334,4,NA,3,3,NA,1,4,0,2,1,3,1,3,0,4,NA,1,NA,NA,NA,1
"2018-03-31 16:17:22","2018-03-31 16:18:51","99.111.118.15",100,88,1,"2018-03-31 16:18:51","R_2y3nZRVFltqaN66",43.133102416992,-89.349098205566,2,3,NA,3,4,NA,NA,0,3,0,0,0,1,NA,NA,NA,NA,3,0,0,0,2,1,2,2,1,5190273,3,3,NA,NA,2,1,3,1,3,0,3,0,4,1,2,0,NA,NA,NA,NA,0
"2018-03-31 16:16:31","2018-03-31 16:19:09","73.87.67.10",100,158,1,"2018-03-31 16:19:10","R_3r0WlBVJ795xGsW",39.158798217773,-75.494102478027,1,3,1,NA,5,NA,NA,0,0,5,0,0,NA,1,NA,NA,NA,3,0,0,0,3,1,1,1,0,5627247,3,NA,5,NA,3,1,3,0,1,1,5,0,5,1,3,NA,1,NA,NA,NA,1
"2018-03-31 16:16:46","2018-03-31 16:19:54","66.196.26.83",100,187,1,"2018-03-31 16:19:55","R_3n17xTWzZg7wETO",31.044998168945,-97.508697509766,2,3,NA,4,5,NA,NA,0,3,0,0,0,0,NA,NA,NA,NA,3,0,0,0,2,1,1,1,0,4348418,3,3,NA,NA,2,1,3,1,3,0,4,0,5,1,2,1,NA,NA,NA,NA,1
"2018-03-31 16:17:02","2018-03-31 16:20:21","50.82.73.90",100,199,1,"2018-03-31 16:20:22","R_3P4AEz3rkYtfpre",37.218994140625,-93.317596435547,3,3,NA,4,NA,NA,3,0,0,0,4,0,NA,NA,0,NA,NA,0,2,0,0,2,1,1,1,0,1862220,NA,2,NA,4,2,0,3,1,2,0,4,1,4,1,2,NA,NA,1,NA,NA,1
"2018-03-31 16:18:27","2018-03-31 16:20:29","162.204.57.19",100,121,1,"2018-03-31 16:20:30","R_2YA2pKGkL6aOZ3P",42.068099975586,-88.509498596191,3,4,NA,NA,NA,3,4,0,0,0,3,0,NA,NA,1,NA,NA,0,4,3,0,0,1,1,1,1,4324777,NA,4,3,3,NA,0,4,1,4,1,3,1,3,0,3,NA,NA,0,NA,NA,0
"2018-03-31 16:16:46","2018-03-31 16:21:13","100.0.240.12",100,267,1,"2018-03-31 16:21:14","R_12ygZPJp0DYNcdK",42.424697875977,-71.111198425293,3,4,NA,NA,NA,4,4,0,0,0,5,0,NA,NA,0,NA,NA,0,5,5,0,0,1,4,2,0,681178,NA,5,5,5,NA,0,4,1,5,1,5,1,5,0,4,NA,NA,1,NA,NA,1
"2018-03-31 16:18:16","2018-03-31 16:21:15","174.126.125.218",100,178,1,"2018-03-31 16:21:15","R_3kL0r9FKrfy4qEG",30.467193603516,-89.276298522949,4,4,NA,5,5,NA,NA,0,4,0,0,0,1,NA,NA,NA,NA,4,0,0,0,4,1,4,2,0,5503436,4,4,NA,NA,4,1,4,1,4,0,5,0,5,1,4,0,NA,NA,NA,NA,0
"2018-03-31 16:18:50","2018-03-31 16:21:21","73.26.246.119",100,151,1,"2018-03-31 16:21:22","R_1mfwDZX8KSmvy72",35.063903808594,-106.4787979126,4,3,4,NA,NA,NA,4,0,0,0,0,1,NA,NA,NA,NA,1,0,0,4,5,0,0,2,1,0,7089197,NA,NA,4,5,1,0,4,0,4,1,4,1,5,1,1,NA,NA,NA,1,NA,1
"2018-03-31 16:18:09","2018-03-31 16:22:20","76.95.128.13",100,250,1,"2018-03-31 16:22:20","R_1rewXJX57JjVph3",33.893707275391,-118.29930114746,1,4,3,NA,2,NA,NA,0,0,3,0,0,NA,1,NA,NA,NA,4,0,0,0,1,0,1,1,1,5369803,4,NA,3,NA,1,1,4,0,3,1,3,0,2,1,1,NA,1,NA,NA,NA,1
"2018-03-31 16:18:48","2018-03-31 16:22:31","107.212.241.172",100,222,1,"2018-03-31 16:22:31","R_3CUEIvvhUkkRRoM",39.954803466797,-82.769302368164,2,2,NA,4,NA,5,NA,0,0,0,3,0,NA,NA,0,NA,NA,3,3,0,0,0,1,1,2,1,4557836,3,3,NA,3,NA,1,3,1,3,0,4,1,3,0,5,NA,NA,1,NA,NA,1
"2018-03-31 16:21:30","2018-03-31 16:22:36","23.112.114.15",100,65,1,"2018-03-31 16:22:37","R_5dQpVVJr74W248h",28.531097412109,-80.85230255127,3,5,NA,NA,3,2,NA,0,2,0,0,0,1,NA,NA,NA,NA,4,0,2,0,0,1,2,2,1,906649,4,2,2,NA,NA,1,4,1,2,1,2,0,3,0,2,0,NA,NA,NA,NA,0
"2018-03-31 16:19:34","2018-03-31 16:22:57","73.139.175.205",100,202,1,"2018-03-31 16:22:57","R_1EiIORv7dtCiIgT",26.025207519531,-80.295997619629,3,2,NA,NA,5,NA,5,0,0,2,0,0,NA,0,NA,NA,NA,0,4,0,0,4,1,1,2,1,6393517,NA,4,2,NA,4,0,5,1,4,1,2,0,5,1,4,NA,0,NA,NA,NA,0
"2018-03-31 16:19:35","2018-03-31 16:23:04","75.107.142.119",100,208,1,"2018-03-31 16:23:05","R_2Ysos6C1cN3QFSM",42.082992553711,-76.77619934082,2,2,NA,2,NA,3,NA,4,0,0,0,0,NA,NA,NA,1,NA,0,2,0,1,0,1,1,1,1,1053699,4,2,NA,1,NA,1,4,1,2,0,2,1,1,0,3,NA,NA,NA,NA,1,1
"2018-03-31 16:22:08","2018-03-31 16:23:42","107.172.5.209",100,94,1,"2018-03-31 16:23:43","R_3JdVu1fuEHSTCal",42.888397216797,-78.876098632812,4,3,NA,NA,4,4,NA,4,0,0,0,0,NA,NA,NA,1,NA,0,4,4,0,0,1,0,1,1,3970150,4,4,4,NA,NA,1,4,1,4,1,4,0,4,0,4,NA,NA,NA,NA,1,1
"2018-03-31 16:23:30","2018-03-31 16:24:31","97.114.106.217",100,61,1,"2018-03-31 16:24:31","R_TtIfQocGxR3tCk9",47.787704467773,-117.45550537109,2,5,NA,NA,NA,4,5,0,0,0,5,0,NA,NA,0,NA,NA,0,2,2,0,0,1,4,1,1,243545,NA,2,2,5,NA,0,5,1,2,1,2,1,5,0,4,NA,NA,1,NA,NA,1
"2018-03-31 16:21:56","2018-03-31 16:24:34","24.184.113.98",100,158,1,"2018-03-31 16:24:35","R_cNDqLSe7VqC5rWN",40.653900146484,-74.185302734375,4,3,NA,NA,3,NA,3,0,0,4,0,0,NA,0,NA,NA,NA,0,3,0,0,3,1,2,1,1,7152955,NA,3,4,NA,3,0,3,1,3,1,4,0,3,1,3,NA,0,NA,NA,NA,0
"2018-03-31 16:22:38","2018-03-31 16:24:41","68.9.65.110",100,122,1,"2018-03-31 16:24:41","R_1JL2rGJfAvpvCiU",41.705001831055,-71.460403442383,2,3,4,NA,5,NA,NA,0,0,2,0,0,NA,1,NA,NA,NA,2,0,0,0,2,0,3,3,0,7638821,2,NA,2,NA,2,1,2,0,4,1,2,0,5,1,2,NA,1,NA,NA,NA,1
"2018-03-31 16:25:47","2018-03-31 16:26:30","198.72.247.247",100,43,1,"2018-03-31 16:26:31","R_2sbscRHdRaDvFlC",34.096405029297,-117.966796875,4,3,NA,NA,NA,2,3,0,0,0,4,0,NA,NA,1,NA,NA,0,3,5,0,0,0,1,1,0,8742332,NA,3,5,4,NA,0,3,1,3,1,5,1,4,0,2,NA,NA,0,NA,NA,0
"2018-03-31 16:24:48","2018-03-31 16:26:53","96.31.26.125",100,125,1,"2018-03-31 16:26:54","R_32UUM4BAtnxs5i9",42.780899047852,-96.213203430176,1,3,1,NA,NA,3,NA,0,0,0,3,0,NA,NA,0,NA,NA,3,0,4,0,0,1,1,1,0,6973749,3,NA,4,3,NA,1,3,0,1,1,4,1,3,0,3,NA,NA,1,NA,NA,1
"2018-03-31 16:16:31","2018-03-31 16:27:49","66.85.185.84",100,677,1,"2018-03-31 16:27:50","R_3Lb8Tp7VfYLXPn5",33.435699462891,-111.91709899902,3,2,NA,3,4,NA,NA,5,0,0,0,0,NA,NA,NA,1,NA,0,3,0,0,3,1,2,1,0,8724079,5,3,NA,NA,3,1,5,1,3,0,3,0,4,1,3,NA,NA,NA,NA,1,1
"2018-03-31 16:25:59","2018-03-31 16:28:01","24.26.137.245",100,122,1,"2018-03-31 16:28:01","R_D7eDvNJeAZJhUZj",39.303100585938,-82.082801818848,2,3,2,NA,NA,NA,3,0,0,0,0,4,NA,NA,NA,NA,1,0,0,4,5,0,1,1,3,1,8463974,NA,NA,4,5,4,0,3,0,2,1,4,1,5,1,4,NA,NA,NA,1,NA,1
"2018-03-31 16:25:06","2018-03-31 16:27:58","75.65.108.244",100,172,1,"2018-03-31 16:28:01","R_2Y8G0k9rqsXfuF4",32.553298950195,-92.193702697754,3,3,2,NA,4,NA,NA,4,0,0,0,0,NA,NA,NA,1,NA,0,0,4,0,2,1,4,2,1,4898950,4,NA,4,NA,2,1,4,0,2,1,4,0,4,1,2,NA,NA,NA,NA,1,1
"2018-03-31 16:27:58","2018-03-31 16:28:56","73.79.137.217",100,57,1,"2018-03-31 16:28:56","R_3r08bBj9x0hn5AS",40.430999755859,-79.922698974609,3,2,NA,NA,5,NA,4,0,0,5,0,0,NA,1,NA,NA,NA,0,5,0,0,2,1,1,1,0,2951644,NA,5,5,NA,2,0,4,1,5,1,5,0,5,1,2,NA,1,NA,NA,NA,1
