"ResponseId","mTurkCode","IPAddress","LocationLatitude","LocationLongitude","StartDate","EndDate","duration_seconds","gender","education_level","house_income","AI_educated","AI_attitude","learn_anything","assignment_undesirable","assignment_jobs","assignment_oversight","assignment_recommender","assignment_beneficial","score_undesirable","score_jobs","score_oversight","score_recommender","score_beneficial","control_undesirable","control_jobs","control_oversight","control_recommender","control_beneficial","treat_undesirable","treat_jobs","treat_oversight","treat_recommender","treat_beneficial","attention_question_code","attention_question","attention_correct"
"R_3EyDJ99lCDvFlph",7823543,"97.114.76.90",46.418197631836,-118.90029907227,"2018-03-31 16:07:29","2018-03-31 16:10:29",180,0,2,1,2,4,1,0,0,1,1,1,3,4,4,4,3,3,4,NA,NA,NA,NA,NA,4,4,3,4,"recommender",0
"R_3LiCUcfEKAxbtUZ",9755967,"107.77.199.76",32.783096313477,-96.806701660156,"2018-03-31 16:07:10","2018-03-31 16:10:46",215,0,4,2,1,2,1,1,0,1,1,0,4,4,5,1,2,NA,4,NA,NA,2,4,NA,5,1,NA,1,"undesirable",1
"R_3FWe0K7Hby4HPiH",1469140,"65.24.200.156",41.461502075195,-84.553100585938,"2018-03-31 16:06:46","2018-03-31 16:10:52",245,0,2,1,2,4,0,1,0,1,0,1,2,2,2,2,4,NA,2,NA,2,NA,2,NA,2,NA,4,5,"beneficial",1
"R_3fP4JKMlN9p9w1O",500461,"73.149.156.211",43.636093139648,-72.241302490234,"2018-03-31 16:08:42","2018-03-31 16:11:33",171,1,4,2,2,1,1,1,0,1,0,1,5,4,5,2,2,NA,4,NA,2,NA,5,NA,5,NA,2,5,"beneficial",1
"R_1j9579KD2s9wm7p",3396761,"184.218.156.114",37.751007080078,-97.821998596191,"2018-03-31 16:06:09","2018-03-31 16:11:42",333,1,2,3,3,5,0,0,1,0,1,1,4,1,4,3,3,4,NA,4,NA,NA,NA,1,NA,3,3,2,"jobs",1
"R_3Rjv7dPuK2dojbe",2308821,"136.63.75.32",38.914505004883,-94.300598144531,"2018-03-31 16:08:26","2018-03-31 16:11:52",206,0,2,1,3,3,1,1,1,0,1,0,2,2,4,4,4,NA,NA,4,NA,4,2,2,NA,4,NA,1,"undesirable",0
"R_21h09hJ0opcBEfm",6788544,"71.174.63.141",42.270599365234,-71.847900390625,"2018-03-31 16:08:00","2018-03-31 16:12:03",242,1,2,3,1,5,1,1,0,1,0,1,2,4,5,2,4,NA,4,NA,2,NA,2,NA,5,NA,4,3,"oversight",1
"R_30dfC6rnaC6xWOz",581377,"68.111.14.9",32.178497314453,-110.78970336914,"2018-03-31 16:08:04","2018-03-31 16:12:11",246,0,0,2,2,1,1,1,1,1,0,0,5,5,5,3,1,NA,NA,NA,3,1,5,5,5,NA,NA,1,"undesirable",1
"R_3e8Ik5XczCz3IZF",439830,"120.29.100.146",15.149993896484,120.58331298828,"2018-03-31 16:09:29","2018-03-31 16:12:13",164,1,3,2,3,4,1,0,0,1,1,1,4,4,4,3,3,4,4,NA,NA,NA,NA,NA,4,3,3,3,"oversight",1
"R_vrCArtyVrz3zyVj",5044512,"67.5.254.189",45.724700927734,-122.74589538574,"2018-03-31 16:11:13","2018-03-31 16:12:16",62,0,2,2,3,3,1,1,0,1,1,0,5,5,5,2,4,NA,5,NA,NA,4,5,NA,5,2,NA,3,"oversight",1
"R_22ldGS1MunIMHKn",3007806,"24.253.105.212",36.111297607422,-115.27909851074,"2018-03-31 16:10:28","2018-03-31 16:12:19",111,1,3,2,3,2,0,0,1,0,1,1,5,4,5,2,2,5,NA,5,NA,NA,NA,4,NA,2,2,4,"recommender",0
"R_1f9LAgu9mXGPvX7",7914911,"166.181.86.151",41.649002075195,-93.627502441406,"2018-03-31 16:10:43","2018-03-31 16:12:38",114,1,1,2,3,4,0,0,1,1,0,1,3,2,4,3,4,3,NA,NA,3,NA,NA,2,4,NA,4,3,"oversight",1
"R_TiSF3lcK64HWEbT",6648167,"173.219.46.36",33.440505981445,-90.662399291992,"2018-03-31 16:10:10","2018-03-31 16:13:11",181,0,1,2,2,3,1,1,1,0,1,0,4,5,5,2,2,NA,NA,5,NA,2,4,5,NA,2,NA,1,"undesirable",0
"R_1DqDH9I8c4K3Fgs",8099770,"66.85.185.90",33.435699462891,-111.91709899902,"2018-03-31 16:10:28","2018-03-31 16:13:37",189,0,2,1,1,4,1,0,0,1,1,1,3,4,3,3,2,3,4,NA,NA,NA,NA,NA,3,3,2,3,"oversight",1
"R_3G0Kt529YcenR6l",5882941,"70.168.7.208",41.60920715332,-71.17440032959,"2018-03-31 16:10:48","2018-03-31 16:13:38",170,1,2,1,2,4,0,1,1,1,0,0,1,3,3,2,4,NA,NA,NA,2,4,1,3,3,NA,NA,1,"undesirable",1
"R_2WG7GUfpAxWZgaZ",3247656,"67.240.33.197",42.749496459961,-73.595100402832,"2018-03-31 16:11:25","2018-03-31 16:14:02",157,1,1,1,4,3,0,1,1,1,0,0,4,3,5,4,3,NA,NA,NA,4,3,4,3,5,NA,NA,2,"jobs",1
"R_1NPNlY7IDzanvnb",5628067,"174.59.133.48",40.53059387207,-76.622901916504,"2018-03-31 16:11:52","2018-03-31 16:14:04",132,1,1,1,3,4,0,1,1,0,0,1,2,2,3,3,4,NA,NA,3,3,NA,2,2,NA,NA,4,5,"beneficial",1
"R_28Ijdm2HVmoPWKK",6025811,"24.55.121.187",18.450393676758,-66.084899902344,"2018-03-31 16:10:07","2018-03-31 16:14:14",246,0,2,1,3,3,0,0,1,0,1,1,4,5,5,1,3,4,NA,5,NA,NA,NA,5,NA,1,3,4,"recommender",0
"R_2D7fIMfcX2bn9Nb",2916057,"73.253.68.193",42.458602905273,-71.359703063965,"2018-03-31 16:11:57","2018-03-31 16:14:21",144,1,3,4,3,2,1,0,1,1,1,0,4,3,5,1,3,4,NA,NA,NA,3,NA,3,5,1,NA,4,"recommender",0
"R_2OPWA5oNPc34MQQ",7587888,"107.77.241.3",37.751007080078,-97.821998596191,"2018-03-31 16:07:54","2018-03-31 16:14:21",386,0,1,1,2,3,1,1,1,1,0,0,4,4,5,2,4,NA,NA,NA,2,4,4,4,5,NA,NA,1,"undesirable",0
"R_3RmDY8SedNRr4Lo",2045694,"99.203.128.44",39.016296386719,-84.598098754883,"2018-03-31 16:13:24","2018-03-31 16:14:50",86,1,1,1,3,5,1,1,0,1,1,0,5,3,3,5,3,NA,3,NA,NA,3,5,NA,3,5,NA,1,"undesirable",0
"R_2V7IJAIhFDSY8Fv",8055310,"98.214.56.251",40.129104614258,-89.364097595215,"2018-03-31 16:14:22","2018-03-31 16:14:51",29,1,2,1,3,4,1,1,0,0,1,1,3,3,4,5,2,NA,3,4,NA,NA,3,NA,NA,5,2,5,"beneficial",1
"R_3KPYv1ljOeiZ3Lr",4033031,"148.64.39.165",32.297607421875,-99.305702209473,"2018-03-31 16:10:06","2018-03-31 16:15:02",296,0,1,1,3,3,0,0,1,1,1,0,4,4,4,2,2,4,NA,NA,NA,2,NA,4,4,2,NA,3,"oversight",1
"R_1dhqg1a389ho4UB",9261380,"47.196.38.237",27.866104125977,-82.326499938965,"2018-03-31 16:13:30","2018-03-31 16:15:14",103,0,2,1,3,3,0,0,1,1,1,0,3,4,4,3,3,3,NA,NA,NA,3,NA,4,4,3,NA,3,"oversight",0
"R_2xY2C43fxQ1H6S6",9820723,"107.77.205.201",47.494400024414,-122.10070037842,"2018-03-31 16:13:58","2018-03-31 16:16:13",134,0,3,2,2,2,0,1,1,0,0,1,3,3,3,2,2,NA,NA,3,2,NA,3,3,NA,NA,2,1,"undesirable",0
"R_2fkTovCJNp3Pefo",9196085,"99.100.237.177",42.643905639648,-83.050399780273,"2018-03-31 16:13:59","2018-03-31 16:16:46",166,0,2,3,3,4,1,0,1,0,1,1,2,3,2,4,4,2,NA,2,NA,NA,NA,3,NA,4,4,4,"recommender",1
"R_sja1RsrLVyA8i2t",9701473,"213.205.242.45",52.466705322266,-1.9167022705078,"2018-03-31 16:15:24","2018-03-31 16:17:15",111,1,1,1,4,1,0,1,1,1,0,0,5,4,5,2,2,NA,NA,NA,2,2,5,4,5,NA,NA,2,"jobs",1
"R_2duOtdjwrNuAKbC",9794013,"104.54.216.156",30.441604614258,-97.598602294922,"2018-03-31 16:16:17","2018-03-31 16:17:31",73,1,2,1,4,4,1,1,0,1,0,1,3,4,3,3,4,NA,4,NA,3,NA,3,NA,3,NA,4,3,"oversight",1
"R_1nU8NbPF9bJ4LVJ",3692876,"71.37.196.142",43.634002685547,-116.32420349121,"2018-03-31 16:16:03","2018-03-31 16:17:49",106,1,1,1,3,5,0,0,0,1,1,1,1,2,3,1,5,1,2,NA,NA,NA,NA,NA,3,1,5,3,"oversight",1
"R_3ik8Lf56sIwzXP9",2655543,"173.72.56.96",39.874099731445,-74.80899810791,"2018-03-31 16:10:03","2018-03-31 16:18:30",506,0,4,3,1,3,1,0,1,1,1,0,3,4,4,2,3,3,NA,NA,NA,3,NA,4,4,2,NA,4,"recommender",0
"R_r0x08kYL5LLh6sV",7597334,"98.195.126.44",29.739700317383,-95.830200195312,"2018-03-31 16:15:09","2018-03-31 16:18:45",215,1,0,2,4,4,1,0,1,1,0,1,2,3,3,4,4,2,NA,NA,4,NA,NA,3,3,NA,4,2,"jobs",1
"R_2y3nZRVFltqaN66",5190273,"99.111.118.15",43.133102416992,-89.349098205566,"2018-03-31 16:17:22","2018-03-31 16:18:51",88,1,2,2,2,3,1,1,0,0,1,1,3,3,4,2,3,NA,3,4,NA,NA,3,NA,NA,2,3,1,"undesirable",0
"R_3r0WlBVJ795xGsW",5627247,"73.87.67.10",39.158798217773,-75.494102478027,"2018-03-31 16:16:31","2018-03-31 16:19:09",158,0,1,1,1,3,1,0,1,0,1,1,1,5,5,3,3,1,NA,5,NA,NA,NA,5,NA,3,3,2,"jobs",1
"R_3n17xTWzZg7wETO",4348418,"66.196.26.83",31.044998168945,-97.508697509766,"2018-03-31 16:16:46","2018-03-31 16:19:54",187,0,1,1,2,3,1,1,0,0,1,1,3,4,5,2,3,NA,4,5,NA,NA,3,NA,NA,2,3,1,"undesirable",1
"R_3P4AEz3rkYtfpre",1862220,"50.82.73.90",37.218994140625,-93.317596435547,"2018-03-31 16:17:02","2018-03-31 16:20:21",199,0,1,1,3,3,1,1,0,1,1,0,2,4,4,2,3,NA,4,NA,NA,3,2,NA,4,2,NA,3,"oversight",1
"R_2YA2pKGkL6aOZ3P",4324777,"162.204.57.19",42.068099975586,-88.509498596191,"2018-03-31 16:18:27","2018-03-31 16:20:29",121,1,1,1,3,4,1,1,1,1,0,0,4,3,3,3,4,NA,NA,NA,3,4,4,3,3,NA,NA,3,"oversight",0
"R_12ygZPJp0DYNcdK",681178,"100.0.240.12",42.424697875977,-71.111198425293,"2018-03-31 16:16:46","2018-03-31 16:21:13",267,0,4,2,3,4,1,1,1,1,0,0,5,5,5,4,4,NA,NA,NA,4,4,5,5,5,NA,NA,3,"oversight",1
"R_3kL0r9FKrfy4qEG",5503436,"174.126.125.218",30.467193603516,-89.276298522949,"2018-03-31 16:18:16","2018-03-31 16:21:15",178,0,4,2,4,4,1,1,0,0,1,1,4,5,5,4,4,NA,5,5,NA,NA,4,NA,NA,4,4,1,"undesirable",0
"R_1mfwDZX8KSmvy72",7089197,"73.26.246.119",35.063903808594,-106.4787979126,"2018-03-31 16:18:50","2018-03-31 16:21:21",151,0,2,1,4,3,0,0,1,1,1,0,4,4,5,1,4,4,NA,NA,NA,4,NA,4,5,1,NA,4,"recommender",0
"R_1rewXJX57JjVph3",5369803,"76.95.128.13",33.893707275391,-118.29930114746,"2018-03-31 16:18:09","2018-03-31 16:22:20",250,1,1,1,1,4,0,0,1,0,1,1,3,3,2,1,4,3,NA,2,NA,NA,NA,3,NA,1,4,2,"jobs",1
"R_3CUEIvvhUkkRRoM",4557836,"107.212.241.172",39.954803466797,-82.769302368164,"2018-03-31 16:18:48","2018-03-31 16:22:31",222,1,1,2,2,2,1,1,0,1,0,1,3,4,3,5,3,NA,4,NA,5,NA,3,NA,3,NA,3,3,"oversight",1
"R_5dQpVVJr74W248h",906649,"23.112.114.15",28.531097412109,-80.85230255127,"2018-03-31 16:21:30","2018-03-31 16:22:36",65,1,2,2,3,5,1,1,1,0,0,1,2,2,3,2,4,NA,NA,3,2,NA,2,2,NA,NA,4,1,"undesirable",0
"R_1EiIORv7dtCiIgT",6393517,"73.139.175.205",26.025207519531,-80.295997619629,"2018-03-31 16:19:34","2018-03-31 16:22:57",202,1,1,2,3,2,1,1,1,0,1,0,4,2,5,4,5,NA,NA,5,NA,5,4,2,NA,4,NA,2,"jobs",0
"R_2Ysos6C1cN3QFSM",1053699,"75.107.142.119",42.082992553711,-76.77619934082,"2018-03-31 16:19:35","2018-03-31 16:23:04",208,1,1,1,2,2,1,1,0,1,0,1,2,2,1,3,4,NA,2,NA,3,NA,2,NA,1,NA,4,5,"beneficial",1
"R_3JdVu1fuEHSTCal",3970150,"107.172.5.209",42.888397216797,-78.876098632812,"2018-03-31 16:22:08","2018-03-31 16:23:42",94,1,0,1,4,3,1,1,1,0,0,1,4,4,4,4,4,NA,NA,4,4,NA,4,4,NA,NA,4,5,"beneficial",1
"R_TtIfQocGxR3tCk9",243545,"97.114.106.217",47.787704467773,-117.45550537109,"2018-03-31 16:23:30","2018-03-31 16:24:31",61,1,4,1,2,5,1,1,1,1,0,0,2,2,5,4,5,NA,NA,NA,4,5,2,2,5,NA,NA,3,"oversight",1
"R_cNDqLSe7VqC5rWN",7152955,"24.184.113.98",40.653900146484,-74.185302734375,"2018-03-31 16:21:56","2018-03-31 16:24:34",158,1,2,1,4,3,1,1,1,0,1,0,3,4,3,3,3,NA,NA,3,NA,3,3,4,NA,3,NA,2,"jobs",0
"R_1JL2rGJfAvpvCiU",7638821,"68.9.65.110",41.705001831055,-71.460403442383,"2018-03-31 16:22:38","2018-03-31 16:24:41",122,0,3,3,2,3,0,0,1,0,1,1,4,2,5,2,2,4,NA,5,NA,NA,NA,2,NA,2,2,2,"jobs",1
"R_2sbscRHdRaDvFlC",8742332,"198.72.247.247",34.096405029297,-117.966796875,"2018-03-31 16:25:47","2018-03-31 16:26:30",43,0,1,1,4,3,0,1,1,1,0,0,3,5,4,2,3,NA,NA,NA,2,3,3,5,4,NA,NA,3,"oversight",0
"R_32UUM4BAtnxs5i9",6973749,"96.31.26.125",42.780899047852,-96.213203430176,"2018-03-31 16:24:48","2018-03-31 16:26:53",125,0,1,1,1,3,1,0,1,1,0,1,1,4,3,3,3,1,NA,NA,3,NA,NA,4,3,NA,3,3,"oversight",1
"R_3Lb8Tp7VfYLXPn5",8724079,"66.85.185.84",33.435699462891,-111.91709899902,"2018-03-31 16:16:31","2018-03-31 16:27:49",677,0,2,1,3,2,1,1,0,0,1,1,3,3,4,3,5,NA,3,4,NA,NA,3,NA,NA,3,5,5,"beneficial",1
"R_D7eDvNJeAZJhUZj",8463974,"24.26.137.245",39.303100585938,-82.082801818848,"2018-03-31 16:25:59","2018-03-31 16:28:01",122,1,1,3,2,3,1,0,1,1,1,0,2,4,5,4,3,2,NA,NA,NA,3,NA,4,5,4,NA,4,"recommender",0
"R_2Y8G0k9rqsXfuF4",4898950,"75.65.108.244",32.553298950195,-92.193702697754,"2018-03-31 16:25:06","2018-03-31 16:27:58",172,1,4,2,3,3,1,0,1,0,1,1,2,4,4,2,4,2,NA,4,NA,NA,NA,4,NA,2,4,5,"beneficial",1
"R_3r08bBj9x0hn5AS",2951644,"73.79.137.217",40.430999755859,-79.922698974609,"2018-03-31 16:27:58","2018-03-31 16:28:56",57,0,1,1,3,2,1,1,1,0,1,0,5,5,5,2,4,NA,NA,5,NA,4,5,5,NA,2,NA,2,"jobs",1
"R_1IWMaBemuL1XWXo",551835,"216.49.25.4",40.939498901367,-75.969497680664,"2018-03-31 16:27:38","2018-03-31 16:31:05",207,0,2,2,3,4,0,1,0,1,1,0,3,3,4,2,4,NA,3,NA,NA,4,3,NA,4,2,NA,1,"undesirable",0
"R_3MEa4fsDZpZzpDl",5602824,"71.236.213.96",45.476303100586,-122.64080047607,"2018-03-31 16:29:25","2018-03-31 16:31:24",119,1,1,1,1,1,1,0,1,1,1,0,5,5,5,4,1,5,NA,NA,NA,1,NA,5,5,4,NA,4,"recommender",0
"R_3PYp76wPUqAUvxG",9135618,"108.66.214.58",35.67610168457,-78.81600189209,"2018-03-31 16:29:30","2018-03-31 16:31:33",122,0,2,1,2,4,0,1,1,0,1,0,2,2,3,2,4,NA,NA,3,NA,4,2,2,NA,2,NA,2,"jobs",1
"R_1oBXty0SgZVicOj",6002815,"104.181.143.222",34.147598266602,-117.45809936523,"2018-03-31 16:29:39","2018-03-31 16:31:44",124,0,1,2,3,2,1,1,0,1,1,0,1,3,2,1,3,NA,3,NA,NA,3,1,NA,2,1,NA,4,"recommender",0
"R_9RywXGixGQbw7gR",3969054,"75.115.166.15",28.004196166992,-82.293601989746,"2018-03-31 16:29:52","2018-03-31 16:32:58",186,1,1,1,2,4,1,1,1,0,0,1,2,3,3,2,4,NA,NA,3,2,NA,2,3,NA,NA,4,5,"beneficial",1
"R_2UVMOUKHgX4nG2B",5093619,"174.26.224.196",33.448394775391,-112.07399749756,"2018-03-31 16:28:07","2018-03-31 16:33:59",351,0,3,3,1,1,1,0,1,1,1,0,5,5,5,1,1,5,NA,NA,NA,1,NA,5,5,1,NA,3,"oversight",1
"R_ZwVApOAIeHVIGml",721900,"70.125.5.90",28.085906982422,-82.726699829102,"2018-03-31 16:32:06","2018-03-31 16:35:17",190,1,2,1,2,4,1,1,0,1,0,1,1,3,5,2,4,NA,3,NA,2,NA,1,NA,5,NA,4,1,"undesirable",1
"R_2uErTCgVXSMdSX1",4004293,"96.58.4.78",28.272201538086,-82.33219909668,"2018-03-31 16:31:30","2018-03-31 16:35:23",232,1,1,1,3,2,1,1,0,0,1,1,4,5,4,2,3,NA,5,4,NA,NA,4,NA,NA,2,3,4,"recommender",1
"R_2z5W0ygu1aFvJl2",8983409,"75.128.183.238",43.614700317383,-84.792701721191,"2018-03-31 16:33:55","2018-03-31 16:35:40",105,1,4,2,2,4,0,1,1,0,1,0,2,1,5,2,5,NA,NA,5,NA,5,2,1,NA,2,NA,4,"recommender",0
"R_2OJU89bvnq1BrZx",3023129,"172.58.201.143",40.226196289062,-75.293098449707,"2018-03-31 16:27:58","2018-03-31 16:35:41",463,1,1,1,3,4,1,1,0,0,1,1,2,1,4,5,4,NA,1,4,NA,NA,2,NA,NA,5,4,5,"beneficial",0
"R_2YM5GHmWESADjsN",1097318,"98.214.50.151",40.129104614258,-89.364097595215,"2018-03-31 16:33:03","2018-03-31 16:36:54",230,1,2,1,2,4,1,1,1,1,0,0,2,2,5,3,4,NA,NA,NA,3,4,2,2,5,NA,NA,1,"undesirable",1
"R_3oI0Wc9diXfYPC7",8535055,"96.234.170.51",38.803207397461,-76.53279876709,"2018-03-31 16:39:32","2018-03-31 16:40:54",82,1,2,1,4,5,0,0,1,0,1,1,2,4,1,2,5,2,NA,1,NA,NA,NA,4,NA,2,5,5,"beneficial",1
"R_3D17uCAMyumwrkx",8049729,"69.204.64.37",43.07080078125,-78.820098876953,"2018-03-31 16:39:48","2018-03-31 16:42:25",157,1,2,1,3,4,1,1,0,1,1,0,2,1,3,1,4,NA,1,NA,NA,4,2,NA,3,1,NA,3,"oversight",0
"R_W0QmLHhlwmAYBzP",6920965,"74.196.54.63",35.580505371094,-77.012702941895,"2018-03-31 16:38:39","2018-03-31 16:42:46",247,1,3,2,3,3,0,1,0,1,1,0,2,2,3,3,3,NA,2,NA,NA,3,2,NA,3,3,NA,4,"recommender",0
"R_3Hvr4WQwVNFfEpQ",3437782,"98.148.90.122",34.108093261719,-118.22869873047,"2018-03-31 16:40:39","2018-03-31 16:43:41",181,1,4,2,1,3,1,0,0,1,1,1,3,2,5,1,3,3,2,NA,NA,NA,NA,NA,5,1,3,3,"oversight",1
"R_1dyO0M7U7JnHf01",3805778,"71.178.41.248",38.855697631836,-77.469703674316,"2018-03-31 16:40:46","2018-03-31 16:43:52",186,0,1,2,3,2,1,0,0,1,1,1,4,2,4,2,3,4,2,NA,NA,NA,NA,NA,4,2,3,4,"recommender",0
"R_1IslpQKD8usIb1R",8047062,"184.0.132.168",35.226806640625,-78.956199645996,"2018-03-31 16:42:04","2018-03-31 16:44:56",172,1,2,2,3,5,0,0,1,1,1,0,1,3,2,2,5,1,NA,NA,NA,5,NA,3,2,2,NA,4,"recommender",0
"R_xz6Tld2VJBKoCLD",3566542,"108.28.146.134",38.89729309082,-77.252296447754,"2018-03-31 16:44:27","2018-03-31 16:45:32",65,1,2,2,4,2,0,1,1,0,0,1,4,4,3,4,3,NA,NA,3,4,NA,4,4,NA,NA,3,1,"undesirable",0
"R_1lxWBKCAQLh0hTH",756567,"172.56.26.198",28.544494628906,-81.370597839355,"2018-03-31 16:42:31","2018-03-31 16:45:33",182,0,1,1,3,3,1,1,1,0,1,0,4,3,3,2,3,NA,NA,3,NA,3,4,3,NA,2,NA,1,"undesirable",1
"R_2zHjRZwQOTUDSQR",3678785,"72.179.166.253",29.625503540039,-98.629898071289,"2018-03-31 16:42:57","2018-03-31 16:45:33",156,1,1,1,3,4,0,0,1,1,1,0,2,3,5,3,4,2,NA,NA,NA,4,NA,3,5,3,NA,3,"oversight",0
"R_p0ogACrovwDQuhX",9833740,"71.17.134.41",52.011093139648,-106.79550170898,"2018-03-31 16:44:33","2018-03-31 16:46:19",105,1,2,1,4,4,1,0,1,1,1,0,3,2,4,3,4,3,NA,NA,NA,4,NA,2,4,3,NA,3,"oversight",1
"R_3kBcImwEYrIwcut",757962,"66.215.73.221",34.147003173828,-118.13919830322,"2018-03-31 16:45:37","2018-03-31 16:47:22",105,1,4,2,3,4,0,0,1,1,0,1,4,5,4,4,4,4,NA,NA,4,NA,NA,5,4,NA,4,3,"oversight",1
"R_2ymdR3Cnio48evK",8744760,"65.112.8.3",42.380004882812,-71.13289642334,"2018-03-31 16:45:07","2018-03-31 16:47:40",153,0,4,1,4,2,1,0,1,1,0,1,2,5,5,4,3,2,NA,NA,4,NA,NA,5,5,NA,3,3,"oversight",0
"R_3QXApEeA5F9XtDP",259081,"174.195.146.66",35.137100219727,-85.036796569824,"2018-03-31 16:43:43","2018-03-31 16:48:09",266,0,2,1,1,3,1,0,0,1,1,1,3,3,4,1,2,3,3,NA,NA,NA,NA,NA,4,1,2,3,"oversight",1
"R_1ALpZzWtHIrbBnz",3989086,"71.77.247.28",35.011596679688,-77.711700439453,"2018-03-31 16:42:01","2018-03-31 16:48:15",373,0,1,2,3,3,1,0,1,0,1,1,5,5,4,1,3,5,NA,4,NA,NA,NA,5,NA,1,3,5,"beneficial",1
"R_278ytLDSqfqUhoP",1090868,"172.58.38.192",37.735000610352,-122.20880126953,"2018-03-31 16:45:07","2018-03-31 16:48:21",193,1,4,2,4,4,0,0,1,1,0,1,4,4,5,3,4,4,NA,NA,3,NA,NA,4,5,NA,4,2,"jobs",1
"R_2YSdN7rMCZCOx8v",5990081,"71.39.120.113",41.263595581055,-95.935302734375,"2018-03-31 16:47:37","2018-03-31 16:50:15",157,0,1,1,2,4,1,1,0,1,0,1,3,4,4,2,3,NA,4,NA,2,NA,3,NA,4,NA,3,1,"undesirable",1
"R_2yr1fMeJmAo3Q2U",7646461,"68.134.76.104",39.47380065918,-76.289398193359,"2018-03-31 16:49:33","2018-03-31 16:50:23",50,1,2,2,4,5,1,1,0,1,0,1,4,3,3,3,4,NA,3,NA,3,NA,4,NA,3,NA,4,5,"beneficial",0
"R_1CsGhNlo4VdHIZz",698938,"97.103.90.10",28.32600402832,-81.351303100586,"2018-03-31 16:51:19","2018-03-31 16:53:14",114,0,2,2,3,2,1,1,0,0,1,1,1,1,1,1,2,NA,1,1,NA,NA,1,NA,NA,1,2,4,"recommender",1
