"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q1_1","Q3_1","Q6_1","Q8_1","Q10_1","Q12_1","Q20_1","Q5_1","Q7_1","Q9_1","Q11_1","Q13_1","Q18","Q19","Q23","Q17","Q24","Q33_1","Q34_1","Q35_1","Q36_1","Q37_1","Q31","Q14","Q15","Q16","mTurkCode"
"2018-03-30 16:45:38","2018-03-30 16:47:18","IP Address","174.140.64.232","100","100","True","2018-03-30 16:47:19","R_3gN2RWAgP5SRQ8e","","","","","39.893707275391","-79.749198913574","anonymous","EN","3","3","","2","","","3","","1","","","","False","","","","","","","","1","1","No","Bachelors Degree","0 - $50,000","Male","812501"
"2018-03-30 19:42:29","2018-03-30 19:45:39","IP Address","69.14.241.18","100","189","True","2018-03-30 19:45:40","R_3MtU2uhvmtNj87C","","","","","40.053207397461","-83.022003173828","anonymous","EN","2","2","","","2","","3","","","2","","","","True","","","","","2","","","2","No","Bachelors Degree","$50,000 - $100,000","Female","4647635"
"2018-03-30 22:08:05","2018-03-30 22:10:43","IP Address","96.255.20.58","100","158","True","2018-03-30 22:10:44","R_ZIcGyL9zEWYQLpT","","","","","39.004592895508","-77.036903381348","anonymous","EN","3","4","","","4","5","","4","","","","","","","","True","","","1","2","","","Yes","Bachelors Degree","$50,000 - $100,000","Female","6792563"
"2018-03-31 06:49:09","2018-03-31 06:52:03","IP Address","98.122.84.61","100","174","True","2018-03-31 06:52:04","R_1rHeVSMX59WRrtw","","","","","32.964706420898","-80.201499938965","anonymous","EN","3","2","","5","5","","","","5","","","","True","","","","","1","","","","1","No","High School","0 - $50,000","Male","4465152"
"2018-03-31 10:38:03","2018-03-31 10:40:34","IP Address","174.110.247.92","100","150","True","2018-03-31 10:40:34","R_27PWHh6EaNuRTpA","","","","","34.927307128906","-78.909301757812","anonymous","EN","2","2","","5","5","","","","4","","","","True","","","","","2","","","","2","Yes","High School","0 - $50,000","Female","4273538"
"2018-03-31 13:15:35","2018-03-31 13:16:30","IP Address","64.121.196.248","100","55","True","2018-03-31 13:16:31","R_3I5KcksQS8CLsfQ","","","","","40.690994262695","-75.279296875","anonymous","EN","4","4","2","","3","","","","","2","","","","True","","","","4","","","","2","No","Bachelors Degree","$50,000 - $100,000","Male","997193"
"2018-03-31 14:24:38","2018-03-31 14:27:40","IP Address","172.113.29.242","100","182","True","2018-03-31 14:27:41","R_1iaGZQKi0cTMo2g","","","","","34.052993774414","-117.24890136719","anonymous","EN","1","3","","","3","3","","","2","","","","False","","","","","2","","2","","","Yes","Bachelors Degree","0 - $50,000","Female","3087436"
"2018-04-01 06:42:55","2018-04-01 06:45:11","IP Address","73.149.110.105","100","135","True","2018-04-01 06:45:11","R_10MCCMeV19mNwrZ","","","","","42.106994628906","-72.620399475098","anonymous","EN","2","2","3","","5","","","3","","","","","","","","True","","","","3","","2","Yes","0 - 2 years of graduate school","$50,000 - $100,000","Female","7311222"
"2018-04-01 07:55:43","2018-04-01 07:59:13","IP Address","108.219.212.132","100","210","True","2018-04-01 07:59:14","R_2EmayffM5ZecVMr","","","","","34.176696777344","-118.31050109863","anonymous","EN","1","1","5","5","","","","","","","","3","","","","","True","1","","","5","","No","Bachelors Degree","0 - $50,000","Male","3668890"
"2018-04-01 09:54:19","2018-04-01 09:56:03","IP Address","24.107.40.176","100","103","True","2018-04-01 09:56:03","R_d6BMHrnjTjBpAqt","","","","","38.848999023438","-89.938499450684","anonymous","EN","3","3","3","3","","","","3","","","","","","","","True","","","","","4","3","Yes","Bachelors Degree","$100,000 - $150,000","Male","8414540"
"2018-04-01 13:12:31","2018-04-01 13:14:24","IP Address","75.87.100.146","100","113","True","2018-04-01 13:14:25","R_2XoFL4yCE2vQeoY","","","","","27.73210144043","-97.384696960449","anonymous","EN","1","3","","3","","3","","3","","","","","","","","True","","","3","","5","","No","0 - 2 years of graduate school","0 - $50,000","Female","7864469"
"2018-04-01 15:25:19","2018-04-01 15:27:08","IP Address","162.201.204.93","100","108","True","2018-04-01 15:27:08","R_C4areYpDLZPjNCN","","","","","39.825103759766","-82.795799255371","anonymous","EN","4","3","3","","","","4","","","2","","","","True","","","","","","","2","4","Yes","Bachelors Degree","$50,000 - $100,000","Male","62741"
"2018-04-01 15:31:30","2018-04-01 15:33:54","IP Address","192.203.201.3","100","143","True","2018-04-01 15:33:55","R_1ltzfyWADREF244","","","","","44.967895507812","-93.088401794434","anonymous","EN","2","4","","","","2","4","","2","","","","False","","","","","","","3","5","","Yes","Bachelors Degree","$50,000 - $100,000","Male","2039439"
"2018-04-01 16:10:44","2018-04-01 16:17:03","IP Address","68.36.157.3","100","379","True","2018-04-01 16:17:04","R_V2rnIfDY2t4qIP7","","","","","42.352294921875","-83.027099609375","anonymous","EN","2","3","","","3","","3","","4","","","","True","","","","","","","4","","1","No","> 2 years of graduate school","0 - $50,000","Female","7985751"
"2018-04-02 08:12:19","2018-04-02 08:19:43","IP Address","98.212.80.5","100","444","True","2018-04-02 08:19:44","R_1mQ1lIjPNiuZqJ1","","","","","41.392700195312","-89.077598571777","anonymous","EN","1","2","2","5","","","","2","","","","","","","","True","","","","","5","2","No","Bachelors Degree","$50,000 - $100,000","Female","334660"
"2018-04-02 08:51:07","2018-04-02 08:55:39","IP Address","32.211.106.215","100","271","True","2018-04-02 08:55:39","R_xzlFPbkw9sdKlkl","","","","","41.286407470703","-72.795600891113","anonymous","EN","3","4","2","3","","","","","","","","3","","","","","True","4","","","5","","Yes","High School","$50,000 - $100,000","Male","4354080"
"2018-04-02 14:01:56","2018-04-02 14:13:56","IP Address","104.34.83.206","100","719","True","2018-04-02 14:13:57","R_3knbg5JeAjvmpfb","","","","","34.200500488281","-118.54040527344","anonymous","EN","4","4","","","","4","5","","","3","","","","True","","","","","2","","5","","No","0 - 2 years of graduate school","0 - $50,000","Male","1956304"
"2018-04-02 16:31:14","2018-04-02 16:32:10","IP Address","73.184.165.107","100","55","True","2018-04-02 16:32:10","R_Wxj3uhI1ZtLsiRj","","","","","34.257705688477","-84.49210357666","anonymous","EN","3","4","","4","","3","","","3","","","","True","","","","","4","","","4","","Yes","> 2 years of graduate school","$50,000 - $100,000","Male","8429794"
"2018-04-02 20:49:22","2018-04-02 20:50:11","IP Address","73.243.4.169","100","49","True","2018-04-02 20:50:11","R_3fB20wjzQ87E0z9","","","","","38.762893676758","-104.84790039062","anonymous","EN","2","2","","2","","2","","","2","","","","True","","","","","2","","","5","","Yes","> 2 years of graduate school","$150,000 or greater","Female","7824095"
"2018-04-02 21:40:28","2018-04-02 21:42:47","IP Address","73.119.2.27","100","139","True","2018-04-02 21:42:48","R_3qOROYfEpAI7l0H","","","","","42.428100585938","-71.05460357666","anonymous","EN","2","1","","3","","","1","","","","5","","","","False","","","","5","","","5","No","Bachelors Degree","$50,000 - $100,000","Female","781567"
